ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
4519.T,CHUGAI PHARMACEUTICAL CO,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/4519.T,2026-07-02,Yahoo Finance via yfinance,73727606503.89,22,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
9432.T,NTT INC,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/9432.T,2026-07-02,Yahoo Finance via yfinance,71540247340.21,23,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6752.T,PANASONIC HOLDINGS CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6752.T,2026-07-02,Yahoo Finance via yfinance,68524888106.6,24,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
7182.T,JAPAN POST BANK CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/7182.T,2026-07-02,Yahoo Finance via yfinance,67654371572.77,25,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
2914.T,JAPAN TOBACCO INC,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/2914.T,2026-07-02,Yahoo Finance via yfinance,65267288255.36,26,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
9433.T,KDDI CORPORATION,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/9433.T,2026-07-02,Yahoo Finance via yfinance,62191089832.89,27,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
9434.T,SOFTBANK CORP.,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/9434.T,2026-07-02,Yahoo Finance via yfinance,60739646142.88,28,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
5803.T,FUJIKURA,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/5803.T,2026-07-02,Yahoo Finance via yfinance,59348977125.1,29,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6723.T,RENESAS ELECTRONICS CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6723.T,2026-07-02,Yahoo Finance via yfinance,57187882684.42,30,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6146.T,DISCO CORPORATION,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6146.T,2026-07-02,Yahoo Finance via yfinance,56406850726.36,31,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
5802.T,SUMITOMO ELECTRIC INDUSTRIES,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/5802.T,2026-07-02,Yahoo Finance via yfinance,54397834902.84,32,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
7741.T,HOYA CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/7741.T,2026-07-02,Yahoo Finance via yfinance,53317571555.7,33,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
4502.T,TAKEDA PHARMACEUTICAL CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/4502.T,2026-07-02,Yahoo Finance via yfinance,50061236230.55,34,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
7974.T,NINTENDO CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/7974.T,2026-07-02,Yahoo Finance via yfinance,49509893178.36,35,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8002.T,MARUBENI CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8002.T,2026-07-02,Yahoo Finance via yfinance,46959263411.52,36,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8053.T,SUMITOMO CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8053.T,2026-07-02,Yahoo Finance via yfinance,45849306282.12,37,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
4062.T,IBIDEN CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/4062.T,2026-07-02,Yahoo Finance via yfinance,44302187645.01,38,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6762.T,TDK CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6762.T,2026-07-02,Yahoo Finance via yfinance,43212062929.88,39,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6954.T,FANUC CORPORATION,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6954.T,2026-07-02,Yahoo Finance via yfinance,42573399835.09,40,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6367.T,DAIKIN INDUSTRIES,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6367.T,2026-07-02,Yahoo Finance via yfinance,42462495735.77,41,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
