ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
QNBFK.IS,QNB FINANSAL KIRALAMA,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/QNBFK.IS,2026-07-02,Yahoo Finance via yfinance,2326219230.42,46,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TAVHL.IS,TAV HAVALIMANLARI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TAVHL.IS,2026-07-02,Yahoo Finance via yfinance,2224590307.78,47,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ENERY.IS,ENERYA ENERJI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ENERY.IS,2026-07-02,Yahoo Finance via yfinance,2179424121.4,48,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
OYAKC.IS,OYAK CIMENTO,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/OYAKC.IS,2026-07-02,Yahoo Finance via yfinance,2171214513.35,49,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AHGAZ.IS,AHLATCI DOGALGAZ,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AHGAZ.IS,2026-07-02,Yahoo Finance via yfinance,2147966421.55,50,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AKSEN.IS,AKSA ENERJI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AKSEN.IS,2026-07-02,Yahoo Finance via yfinance,2141848188.5,51,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TRGYO.IS,TORUNLAR GMYO,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TRGYO.IS,2026-07-02,Yahoo Finance via yfinance,2131206806.21,52,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KLNMA.IS,T. KALKINMA BANK.,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KLNMA.IS,2026-07-02,Yahoo Finance via yfinance,2121563272.95,53,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MAGEN.IS,MARGUN ENERJI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MAGEN.IS,2026-07-02,Yahoo Finance via yfinance,1978733051.4,54,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
PGSUS.IS,PEGASUS,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/PGSUS.IS,2026-07-02,Yahoo Finance via yfinance,1892263218.13,55,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
