ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
INTC,Intel Corporation,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/INTC,2026-07-02,Yahoo Finance via yfinance,638402494464.0,21,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
JNJ,Johnson & Johnson,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/JNJ,2026-07-02,Yahoo Finance via yfinance,611384950784.0,22,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
XOM,Exxon Mobil Corporation,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/XOM,2026-07-02,Yahoo Finance via yfinance,564873396224.0,23,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AMAT,"Applied Materials, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AMAT,2026-07-02,Yahoo Finance via yfinance,516796121088.0,24,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
LRCX,Lam Research Corporation,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/LRCX,2026-07-02,Yahoo Finance via yfinance,489298427904.0,25,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MA,Mastercard Incorporated,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MA,2026-07-02,Yahoo Finance via yfinance,461619560448.0,26,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
CSCO,"Cisco Systems, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/CSCO,2026-07-02,Yahoo Finance via yfinance,461187284992.0,27,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
CAT,"Caterpillar, Inc.",NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/CAT,2026-07-02,Yahoo Finance via yfinance,456635482112.0,28,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ABBV,AbbVie Inc.,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ABBV,2026-07-02,Yahoo Finance via yfinance,443571011584.0,29,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
BAC,Bank of America Corporation,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/BAC,2026-07-02,Yahoo Finance via yfinance,414157045760.0,30,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
