ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
MSF.DE,MICROSOFT CORP.               R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MSF.DE,2026-07-02,Yahoo Finance via yfinance,2854683876191.06,21,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MSFT.SW,MICROSOFT CORP,EBS,Europe exchange listing,CHF,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MSFT.SW,2026-07-02,Yahoo Finance via yfinance,2754945328571.62,22,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=CHF; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
NFC1.F,Netflix Inc.                  R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NFC1.F,2026-07-02,Yahoo Finance via yfinance,2710589711455.44,23,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AMZN.SW,AMAZON.COM INC,EBS,Europe exchange listing,CHF,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AMZN.SW,2026-07-02,Yahoo Finance via yfinance,2636749796885.5,24,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=CHF; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1AMZN.MI,AMAZON,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1AMZN.MI,2026-07-02,Yahoo Finance via yfinance,2612441320956.19,25,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AMZ.DE,AMAZON.COM INC.               R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AMZ.DE,2026-07-02,Yahoo Finance via yfinance,2609380039844.5,26,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AMZ.F,AMAZON.COM INC.               R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AMZ.F,2026-07-02,Yahoo Finance via yfinance,2603257477621.12,27,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MSF0.F,Microsoft Corp.               R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MSF0.F,2026-07-02,Yahoo Finance via yfinance,2498482080438.09,28,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AMZ1.F,Amazon.com Inc.               R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AMZ1.F,2026-07-02,Yahoo Finance via yfinance,2375723186021.66,29,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TSFA.F,TAIWAN SEMICONDUCT.MANUFACT.COR,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TSFA.F,2026-07-02,Yahoo Finance via yfinance,2331994669734.44,30,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1SPCX.MI,SPACE EXPLORATION TECHNOLOGIES,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1SPCX.MI,2026-07-02,Yahoo Finance via yfinance,2108469973056.28,31,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
SPX.F,Space Exploration Techs. Corp.R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/SPX.F,2026-07-02,Yahoo Finance via yfinance,2073678672865.72,32,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1AVGO.MI,BROADCOM,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1AVGO.MI,2026-07-02,Yahoo Finance via yfinance,1770621540794.44,33,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1YD.DE,Broadcom Inc.                 R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1YD.DE,2026-07-02,Yahoo Finance via yfinance,1769267701979.38,34,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1YD.F,Broadcom Inc.                 R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1YD.F,2026-07-02,Yahoo Finance via yfinance,1767913713964.53,35,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TL0.DE,Tesla Inc.                    R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TL0.DE,2026-07-02,Yahoo Finance via yfinance,1620925073472.66,36,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1TSLA.MI,TESLA,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1TSLA.MI,2026-07-02,Yahoo Finance via yfinance,1620711419385.91,37,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TL0.F,Tesla Inc.                    R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TL0.F,2026-07-02,Yahoo Finance via yfinance,1599549370012.75,38,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1FB.MI,META PLATFORMS,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1FB.MI,2026-07-02,Yahoo Finance via yfinance,1583733447201.34,39,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
FB2A.DE,Meta Platforms Inc.           R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/FB2A.DE,2026-07-02,Yahoo Finance via yfinance,1583444596424.84,40,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
FB2A.F,Meta Platforms Inc.           R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/FB2A.F,2026-07-02,Yahoo Finance via yfinance,1567263432548.94,41,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TL01.F,Tesla Inc.                    R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TL01.F,2026-07-02,Yahoo Finance via yfinance,1436095340061.69,42,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MU.SW,MICRON TECH,EBS,Europe exchange listing,CHF,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MU.SW,2026-07-02,Yahoo Finance via yfinance,1319133214395.4,43,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=CHF; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
