Date,Equal Weight,Momentum Tilt 6M/12M,Time-Series Momentum,Cross-Asset Relative Momentum,Dual Momentum Absolute,Trend-Following MA,Volatility-Scaled Momentum,Risk-Managed Equal Weight,Regime-Aware Allocation,Asset-Class Momentum Rotation,Signal-Aware HRP Lite,Shrunk Max Sharpe Nested
2019-10-31,-0.001985956409436948,0.00044930594278461773,0.0011830386270189582,0.000999313196174738,-0.0004686587342287926,0.0014017696804167065,0.0011830386270189582,-0.0015932939927194596,-0.0018672082849098958,0.00017860521454582368,0.0005691452905971035,0.002532424681239958
2019-11-01,0.007595366144542268,0.004541699164685134,0.0035382636299767165,0.003420387698796489,0.0047081904165823365,0.0029266202466951955,0.0035382636299767165,0.007573281655174669,0.007212297773378647,0.00397315412012557,0.003946324175018301,0.0011689704308245894
2019-11-04,0.0051295817707993335,0.0009172802638626452,-0.0006859664406707438,0.004317501884919996,0.006477061236448557,-0.0012733213504157112,-0.0006859664406707438,0.0033659910156665666,0.0046171742076277,0.0008892519911440182,-1.5084418998677124e-05,-0.0006085468179617564
2019-11-05,-0.0005268959271927486,-0.003810906479368798,-0.005105870387070142,-0.006735413696156654,-0.004895783390371125,-0.0036921707744334824,-0.005105870387070142,-0.0011389054871309826,-0.0010320368621191157,-0.0053442839616189,-0.0026690027558873733,-0.006057958844194932
2019-11-06,0.0011611250058550472,0.0019265248451439886,0.0021876746321625234,0.0026791216882756127,0.0024576068929990777,0.001697886037633338,0.0021876746321625234,0.00045297903227684943,0.0012704160882685415,0.0019145965089174116,0.0009840656186521257,0.003867395928282822
2019-11-07,-0.005644566099466029,-0.005982371507027155,-0.0051058015848974014,-0.009225469864273108,-0.005858675427051007,-0.003798876033543953,-0.0051058015848974014,-0.00505255556106394,-0.005717145044004779,-0.005824405860047838,-0.003507415315666367,-0.010149763845720321
2019-11-08,-0.008193916258995522,-0.005599335719042263,-0.00412134651087167,-0.01572836049348804,-0.0141851631161455,-0.0016422666479137186,-0.00412134651087167,-0.005792887281647186,-0.00825496144121641,-0.005976166580246982,-0.0023789636020550183,-0.008152043822835147
2019-11-11,-0.0028854494906748918,-0.001475211151851059,-0.0005073730763860565,0.0008040764911244005,0.002587425690911781,-0.0008555036280717499,-0.0005073730763860565,-0.003964710311676636,-0.0028946931417430516,-0.0019985256835283634,-0.0017722692022417474,0.0016882464325241107
2019-11-12,0.0008979678163416184,0.000626339258471569,0.0005445223476620823,0.0047948806839131185,0.006437201335817473,-4.7785792245534425e-05,0.0005445223476620823,0.00029494464396957374,0.0008090733433350128,-0.0030165392523216657,-8.886605641441996e-06,0.005450741652576613
2019-11-13,0.001154558148417451,0.0020580647303828276,0.0020997947030612003,0.0053000304710371805,0.004600007637258749,0.0010998666294611734,0.0020997947030612003,0.0012952262560105604,0.001388632913858811,0.0010304244126390647,0.0008857136822266443,0.006587495974571485
