Subperiod,Strategy,Start,End,CAGR,Sharpe,Max_Drawdown,CAGR_Diff_vs_Equal_Weight,Sharpe_Diff_vs_Equal_Weight
2022 inflation/rate shock,Cross-Asset Relative Momentum,2022-01-03,2022-12-30,-0.2657255066745914,-0.9538685535229826,-0.2927379298854367,-0.10728767331278866,0.03932805364344971
recent period,Cross-Asset Relative Momentum,2024-01-01,2026-06-24,0.10831018887956967,0.3706644186577538,-0.2369815650735514,-0.0493035490663829,-0.4839703922513746
pre-COVID,Dual Momentum Absolute,2019-10-17,2020-02-19,0.5260241550071718,2.1275842227214694,-0.08854451683371134,0.2360689779273626,-0.10709236881524697
COVID crash,Dual Momentum Absolute,2020-02-20,2020-04-30,-0.6323944757553421,-1.0850022445591008,-0.37161351511422736,-0.07336379650877545,0.39033093412336695
2022 inflation/rate shock,Dual Momentum Absolute,2022-01-03,2022-12-30,-0.3327276688707499,-0.9940615640381848,-0.3596330178956466,-0.17428983550894717,-0.0008649568717524758
recent period,Dual Momentum Absolute,2024-01-01,2026-06-24,0.11025700112888792,0.37376625683442644,-0.2403485643196548,-0.04735673681706465,-0.48086855407470197
pre-COVID,Trend-Following MA,2019-10-17,2020-02-19,0.11224293647377448,2.412280031932953,-0.013100458942970405,-0.17771224060603474,0.17760344039623677
COVID crash,Trend-Following MA,2020-02-20,2020-04-30,-0.2861469201889745,-1.3960754896164354,-0.15969946666611812,0.2728837590575922,0.07925768906603237
2022 inflation/rate shock,Trend-Following MA,2022-01-03,2022-12-30,-0.24277180445901458,-1.2833483634946423,-0.27763253531096677,-0.08433397109721186,-0.29015175632821
recent period,Trend-Following MA,2024-01-01,2026-06-24,0.10503549614549268,1.013652536776171,-0.05308279531000282,-0.05257824180045989,0.15901772586704266
pre-COVID,Volatility-Scaled Momentum,2019-10-17,2020-02-19,0.24361514828643238,3.1121850946472738,-0.016845034539274995,-0.04634002879337684,0.8775085031105574
COVID crash,Volatility-Scaled Momentum,2020-02-20,2020-04-30,-0.46574209271775324,-1.3351734733794587,-0.2507812862987694,0.09328858652881344,0.14015970530300903
2022 inflation/rate shock,Volatility-Scaled Momentum,2022-01-03,2022-12-30,-0.265837373870783,-1.0899384374082222,-0.30864916295307443,-0.10739954050898026,-0.09674183024178984
recent period,Volatility-Scaled Momentum,2024-01-01,2026-06-24,0.1359057616424133,0.6316793021457223,-0.11895005534059411,-0.021707976303539267,-0.22295550876340609
pre-COVID,Risk-Managed Equal Weight,2019-10-17,2020-02-19,0.217416916456163,2.404127315697662,-0.03189167323003228,-0.07253826062364621,0.16945072416094575
COVID crash,Risk-Managed Equal Weight,2020-02-20,2020-04-30,-0.5525289935873412,-1.8228305962328826,-0.261086937388906,0.006501685659225487,-0.34749741755041486
2022 inflation/rate shock,Risk-Managed Equal Weight,2022-01-03,2022-12-30,-0.11708347160776233,-0.9479188286263258,-0.1825062332875288,0.04135436175404039,0.045277778540106506
recent period,Risk-Managed Equal Weight,2024-01-01,2026-06-24,0.1466087968314349,0.9427041804771208,-0.10511482561814378,-0.011004941114517663,0.08806936956799238
pre-COVID,Regime-Aware Allocation,2019-10-17,2020-02-19,0.28396713075755353,2.23782095576757,-0.04328235635532851,-0.005988046322255691,0.0031443642308537356
COVID crash,Regime-Aware Allocation,2020-02-20,2020-04-30,-0.6017343168694111,-1.6783374505956896,-0.2952447058147375,-0.04270363762284446,-0.2030042719132219
