Date,Strategy,Is_Rebalance_Date,Asset_Count,Nonzero_Weight_Count,Weight_Sum,Min_Weight,Max_Weight,Long_Only,Sum_To_One,Cap_Check_Applies,Max_Weight_Cap,Cap_Respected_On_Rebalance,Top_Ticker,Top_Asset_Class,Top_Weight
2019-12-10,Asset-Class Momentum Rotation,False,37,37,1.0,0.0052795128534715175,0.25183685287570245,True,True,False,0.25,True,VNQI,reits,0.25183685287570245
2019-12-11,Asset-Class Momentum Rotation,False,37,37,1.0,0.005310373890854991,0.2523295200074817,True,True,False,0.25,True,VNQI,reits,0.2523295200074817
2019-12-12,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.005267914144907738,0.25274101104440744,True,True,False,0.25,True,VNQI,reits,0.25274101104440744
2019-12-13,Asset-Class Momentum Rotation,False,37,37,1.0,0.005437296219420973,0.2532288889443214,True,True,False,0.25,True,VNQI,reits,0.2532288889443214
2019-12-16,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.005392461378895266,0.2526414566940563,True,True,False,0.25,True,VNQI,reits,0.2526414566940563
2019-12-17,Asset-Class Momentum Rotation,False,37,37,0.9999999999999999,0.00546092680425785,0.254531294224548,True,True,False,0.25,True,VNQI,reits,0.254531294224548
2019-12-18,Asset-Class Momentum Rotation,False,37,37,1.0,0.005481651265595348,0.25569582945673314,True,True,False,0.25,True,VNQI,reits,0.25569582945673314
2019-12-19,Asset-Class Momentum Rotation,False,37,37,1.0,0.005365660413041581,0.2539842951512438,True,True,False,0.25,True,VNQI,reits,0.2539842951512438
2019-12-20,Asset-Class Momentum Rotation,False,37,37,1.0,0.00537615104040433,0.2543045355763387,True,True,False,0.25,True,VNQI,reits,0.2543045355763387
2019-12-23,Asset-Class Momentum Rotation,False,37,37,1.0,0.0054330429456129785,0.2545470723319193,True,True,False,0.25,True,VNQI,reits,0.2545470723319193
2019-12-24,Asset-Class Momentum Rotation,False,37,37,1.0,0.0052363288595610935,0.2549477636754541,True,True,False,0.25,True,VNQI,reits,0.2549477636754541
2019-12-25,Asset-Class Momentum Rotation,False,37,37,1.0,0.005178178261501558,0.25508325688393757,True,True,False,0.25,True,VNQI,reits,0.25508325688393757
2019-12-26,Asset-Class Momentum Rotation,False,37,37,0.9999999999999998,0.005181794994513279,0.2552614214795384,True,True,False,0.25,True,VNQI,reits,0.2552614214795384
2019-12-27,Asset-Class Momentum Rotation,False,37,37,1.0000000000000002,0.005304525644661148,0.25568299413659407,True,True,False,0.25,True,VNQI,reits,0.25568299413659407
2019-12-30,Asset-Class Momentum Rotation,False,37,37,1.0,0.00524456096960485,0.25680874646029794,True,True,False,0.25,True,VNQI,reits,0.25680874646029794
2019-12-31,Asset-Class Momentum Rotation,False,37,37,1.0,0.005113120849273777,0.2558019263903869,True,True,False,0.25,True,VNQI,reits,0.2558019263903869
